"Story","Title","Result","Date","Stability","Duration (s)"
"Delete request test","Sample test for Delete request","IGNORED","2021-03-03T12:35:06.616+05:30[Asia/Calcutta]","0.0","0.04"
"Get request test","Sample test for get request","ERROR","2021-03-03T12:35:09.573+05:30[Asia/Calcutta]","0.0","4.8"
"Parameterized create user test","Parameterized Create user test using POST request","SUCCESS","2021-03-03T12:35:19.948+05:30[Asia/Calcutta]","0.0","5.22"
"Post request test","Sample test for POST request","IGNORED","2021-03-03T12:35:20.1+05:30[Asia/Calcutta]","0.0","0.0"
